feature,impurity_importance
feature_289,0.0013644750031457406
feature_483,0.0013643783306034728
feature_024,0.0013627375779700476
feature_442,0.0013622162655483763
feature_169,0.0013622021789504403
feature_297,0.0013590595804083836
feature_151,0.0013573140910454144
feature_222,0.001356197442075793
feature_053,0.0013537944932737556
feature_586,0.0013456995560882595
feature_359,0.0013453715113662579
feature_271,0.0013379831394511469
feature_335,0.0013295376333004403
feature_363,0.0013250368308613705
feature_540,0.0013232208831869758
feature_406,0.0013156971285598548
feature_004,0.0013144723683683134
feature_198,0.0013114837621666204
feature_473,0.0013090839739668535
feature_269,0.0013086648463062878
feature_073,0.0013014718886111265
feature_001,0.0013002861839449837
feature_412,0.0012999683325894218
feature_376,0.0012977908541306816
feature_440,0.0012966057565438039
feature_457,0.0012950831635168089
feature_337,0.0012933723715058967
feature_407,0.001285979801255424
feature_011,0.0012800645432681325
feature_044,0.0012725829861837876
feature_424,0.001269455618779776
feature_576,0.0012693375814086633
feature_495,0.0012688323403061766
feature_072,0.0012604709087122947
feature_542,0.001257512232759539
feature_334,0.0012552502405985344
feature_238,0.0012503138430694889
feature_311,0.001249901972431921
feature_303,0.0012482491394400811
feature_199,0.001246748716524527
feature_208,0.0012447570905793721
feature_312,0.0012407999083528774
feature_554,0.001240264874979908
feature_486,0.001239760677320899
feature_368,0.001238770528950121
feature_301,0.0012205592999355993
feature_155,0.001213680150365258
feature_545,0.0012048822460574331
feature_550,0.00120482995699435
feature_036,0.0012025811468138927
feature_555,0.001189624368526455
feature_360,0.0011866464500951252
feature_077,0.0011828949519524623
feature_420,0.0011808700321978257
feature_527,0.0011801501268073548
feature_517,0.0011690378326155513
feature_095,0.001168944578089687
feature_415,0.001161389527272891
feature_474,0.0011576917370100493
feature_472,0.001152169305058064
feature_367,0.0011489393885559343
feature_166,0.0011385817387568795
feature_548,0.0011351817406886735
feature_584,0.0011302472654747642
feature_089,0.0011285889790440915
feature_436,0.001127346222533041
feature_546,0.0011245110861590579
feature_362,0.001120234023094672
feature_565,0.001115611775629227
feature_441,0.00110512918815551
feature_277,0.0010908359201664485
feature_084,0.0010785789335568618
feature_244,0.0010767921562546748
feature_119,0.0010757510139880854
feature_493,0.0010736710413203187
feature_350,0.0010735866463576658
feature_448,0.0010689165324250004
feature_496,0.0010681205427845299
feature_248,0.0010671733367725708
feature_579,0.0010552638344714898
feature_300,0.001046742940268487
feature_487,0.001035336879677578
feature_366,0.0010347642327890934
feature_154,0.001021692124726184
feature_246,0.000989496069602872
feature_305,0.0009455887375859389
feature_482,0.0009415193315490241
feature_485,0.000931075647381812
feature_245,0.0009131046097773431
feature_046,0.0009126637123787057
feature_023,0.0009062713610853383
feature_418,0.0009022516785447833
feature_566,0.0008816860865951732
feature_112,0.0008259436883771184
feature_109,0.0008231168345719459
feature_029,0.0008197652649283329
feature_177,0.0008160727522083014
feature_383,0.0008093586645365424
feature_164,0.0008091171423689992
feature_520,0.0008062554264845221
feature_251,0.00078422462556132
feature_569,0.0007725772093647853
feature_201,0.0007454973458691129
feature_106,0.0007419179292522664
feature_568,0.0007392278701139473
feature_578,0.0007184304801796309
feature_516,0.0007173152190871019
feature_278,0.0007106515892901249
feature_500,0.0007035008578061791
feature_564,0.0006979570467337919
feature_434,0.0006668808373001315
feature_580,0.0006470054568942657
feature_167,0.0005866073226539611
feature_581,0.0005413748343643141
feature_543,0.00048751613800224175
feature_382,0.00048464678907869505
feature_094,0.00047402199580238736
feature_384,0.000467244969586017
feature_157,0.00045433125833640157
feature_544,0.00042632401723632305
feature_110,0.00040453256643168095
feature_293,0.0004017737871475181
feature_389,0.0003894371973441184
feature_101,0.00037188100859007045
feature_518,0.00032113479631222167
feature_492,0.0003042829099841113
feature_158,0.00029769553168886427
feature_358,0.00020439370719500276
feature_292,0.000164878867443794
feature_220,0.000124816838222878
feature_387,7.747471234072647e-05
feature_249,4.939339444210501e-05
feature_085,3.631195339515274e-05
feature_478,0.0
feature_342,0.0
feature_347,0.0
feature_521,0.0
feature_114,0.0
feature_209,0.0
